0,1
1,1
2,4
3,4
4,1
5,1
6,1
7,13
8,16
9,19
10,22
11,22
12,25
13,28
14,28
15,31
16,34
17,34
18,37
19,34
20,34
21,40
22,43
23,46
24,49
25,49
26,52
27,49
28,64
29,64
30,64
31,61
32,64
33,67
34,73
35,76
36,82
37,79
38,76
39,82
40,85
41,79
42,82
43,82
44,91
45,79
46,85
47,91
48,106
49,97
50,97
51,106
52,103
53,100
54,112
55,121
56,106
57,106
58,118
59,121
60,121
61,118
62,130
63,124
64,136
65,127
66,133
67,130
68,130
69,139
70,133
71,139
72,145
73,148
74,157
75,154
76,151
77,160
78,157
79,157
80,154
81,169
82,175
83,157
84,169
85,166
86,178
87,181
88,184
89,184
90,190
91,184
92,187
93,178
94,187
95,190
96,193
97,193
98,199
99,202
100,208
101,199
102,199
103,208
104,205
105,208
106,196
107,211
108,211
109,214
110,220
111,214
112,214
113,229
114,229
115,229
116,229
117,220
118,232
119,232
120,250
121,244
122,241
123,250
124,238
125,262
126,256
127,256
128,256
129,256
130,265
131,259
132,262
133,259
134,259
135,265
136,277
137,283
138,274
139,277
140,268
141,304
142,280
143,301
144,295
145,289
146,283
147,289
148,301
149,289
150,316
